Park,Park Type,Park Site Score,PSA,Supervisor District
Merced Heights Playground,Neighborhood Park or Playground,72.6,PSA 4,11
Michelangelo Playground,Neighborhood Park or Playground,87.4,PSA 1,3
Midtown Terrace Playground,Neighborhood Park or Playground,90.9,PSA 4,7
Minnie & Lovie Ward Playground,Neighborhood Park or Playground,82.1,PSA 4,11
Miraloma Playground,Neighborhood Park or Playground,89.6,PSA 5,7
Mission Dolores Park,Neighborhood Park or Playground,79.5,PSA 6,8
Mission Playground,Neighborhood Park or Playground,87.7,PSA 6,8
Mission Recreation Center,Neighborhood Park or Playground,90.4,PSA 6,9
Moscone Recreation Center,Neighborhood Park or Playground,84.5,PSA 1,2
Mountain Lake Park,Neighborhood Park or Playground,86.6,PSA 1,2
Mt. Olympus,Neighborhood Park or Playground,86.1,PSA 5,8
Mullen-Peralta Mini Park,Mini Park,81.9,PSA 6,9
Muriel Leff Mini Park,Mini Park,95.2,PSA 1,1
Noe Valley Courts,Neighborhood Park or Playground,80.5,PSA 5,8
Page-Laguna Mini Park,Mini Park,89,PSA 2,5
Palace Of Fine Arts,Civic Plaza or Square,88.4,PSA 1,2
Palega Recreation Center,Neighborhood Park or Playground,95.4,PSA 3,9
Palou-Phelps Mini Park,Mini Park,81.8,PSA 3,10
Park Presidio Boulevard,Parkway,61.1,PSA 1,1
Parkside Square,Neighborhood Park or Playground,83.1,PSA 4,4
Parque Ninos Unidos,Neighborhood Park or Playground,83,PSA 6,9
Patricia'S Green,Mini Park,87.2,PSA 2,5
Peixotto Playground,Neighborhood Park or Playground,88.5,PSA 5,8
Pine Lake Park,Regional Park,79.6,PSA 4,4
Portsmouth Square,Neighborhood Park or Playground,87.8,PSA 1,3
Potrero Del Sol Park,Neighborhood Park or Playground,86.8,PSA 6,10
Potrero Hill Recreation Center,Neighborhood Park or Playground,91,PSA 2,10
Precita Park,Neighborhood Park or Playground,87,PSA 6,9
Prentiss Mini Park,Mini Park,91.5,PSA 6,9
Presidio Heights Playground,Neighborhood Park or Playground,91.4,PSA 1,2
Randolph-Bright Mini Park,Mini Park,85.1,PSA 4,11
Raymond Kimbell Playground,Neighborhood Park or Playground,80.7,PSA 2,5
Richmond Playground,Neighborhood Park or Playground,94,PSA 1,1
Richmond Recreation Center,Neighborhood Park or Playground,97,PSA 1,1
Rochambeau Playground,Neighborhood Park or Playground,90.1,PSA 1,1
Rolph Nicol Playground,Neighborhood Park or Playground,73.6,PSA 4,7
Roosevelt & Henry Stairs,Mini Park,85.7,PSA 5,8
Saturn Street Steps,Mini Park,88,PSA 5,8
Selby-Palou Mini Park,Mini Park,84.9,PSA 3,10
Seward Mini Park,Mini Park,81.9,PSA 5,8
Sgt. John Macaulay Park,Mini Park,85.3,PSA 2,6
Sigmund Stern Recreation Grove,Regional Park,79.4,PSA 4,4
Silver Terrace Playground,Neighborhood Park or Playground,85.3,PSA 3,10
SoMA West Dog Park,Mini Park,89.7,PSA 6,9
SoMA West Skatepark,Mini Park,82.3,PSA 6,9
South Park,Neighborhood Park or Playground,79.4,PSA 2,6
South Sunset Playground,Neighborhood Park or Playground,85.7,PSA 4,4
St. Mary's Recreation Center,Neighborhood Park or Playground,89.3,PSA 6,9
St. Mary'S Square,Civic Plaza or Square,84.8,PSA 1,3
States Street Playground,Neighborhood Park or Playground,80,PSA 5,8
Sue Bierman Park,Neighborhood Park or Playground,92.4,PSA 1,3
Sunnyside Conservatory,Mini Park,95.7,PSA 5,8
Sunnyside Playground,Neighborhood Park or Playground,93.2,PSA 5,7
Sunset Playground,Neighborhood Park or Playground,95.9,PSA 4,4
Telegraph Hill/Pioneer Park (Coit Tower),Civic Plaza or Square,83.1,PSA 1,3
Tenderloin Recreation Center,Neighborhood Park or Playground,90,PSA 2,6
Turk-Hyde Mini Park,Mini Park,85.5,PSA 2,6
Union Square,Civic Plaza or Square,89.9,PSA 2,3
Upper Noe Recreation Center,Neighborhood Park or Playground,88.3,PSA 5,8
Utah-18th Street Mini Park,Mini Park,91.5,PSA 2,10
Victoria Manalo Draves Park,Neighborhood Park or Playground,87,PSA 2,6
Visitacion Valley Greenway,Neighborhood Park or Playground,83.7,PSA 3,10
Visitacion Valley Playground,Neighborhood Park or Playground,80.4,PSA 3,10
Walter Haas Playground,Neighborhood Park or Playground,84.6,PSA 5,8
Washington Square,Civic Plaza or Square,72.7,PSA 1,3
Washington-Hyde Mini Park,Mini Park,84,PSA 1,3
West Portal Playground,Neighborhood Park or Playground,84.4,PSA 4,7
West Sunset Playground,Neighborhood Park or Playground,87.8,PSA 4,4
"Willie ""Woo Woo"" Wong Playground",Neighborhood Park or Playground,85.9,PSA 1,3
Woh Hei Yuen Park,Neighborhood Park or Playground,85.1,PSA 1,3
Yacht Harbor & Marina Green,Civic Plaza or Square,79.8,PSA 1,2
Youngblood Coleman Playground,Neighborhood Park or Playground,83.5,PSA 3,10
